part_of_speech,english,greek,category
noun,thursday,πέμπτη,feminine
adjective,tired,κουρασμένος,
adverb,today,σήμερα,
noun,"lavatory, toilet, bathroom ",τουαλέτα,feminine
noun,tomato ,ντομάτα,feminine
adverb,tomorrow,αύριο,
noun,toothbrush,οδοντόβουρτσα,feminine
noun,toothpaste,οδοντόκρεμα,feminine
noun,"language, tongue",γλώσσα,feminine
noun,towel,πετσέτα,feminine
noun,town square,πλατεία,feminine
noun,toy,παιχνίδι,neuter
noun,train,τρένο,neuter
noun,train station,σιδηροδρομικός σταθμός,masculine
noun,tree,δέντρο,neuter
noun,"truck, van",φορτηγό,neuter
noun,tuesday,τρίτη,feminine
adjective,ugly,άσχημος,
noun,umbrella,ομπρέλα,feminine
noun,uncle,θείος,masculine
preposition,under,κάτω από,
verb,understand,καταλαβαίνω,
noun,university,πανεπιστήμιο,neuter
adjective,unlikable,αντιπαθητικός,
adverb,up,πάνω,
verb,use,χρησιμοποιώ,
noun,"vase, jar",βάζο,neuter
adverb,very,πολύ,
verb,wait,περιμένω,
verb,walk,περπατάω,
noun,wall,τείχος,masculine
noun,"wallet, purse",πορτοφόλι,neuter
verb,want,θέλω,
adjective,"warm, hot",ζεστός,
noun,water,νερό,neuter
noun,waterfall,καταράχτης,masculine
noun,watermelon ,καρπούζι,neuter
adjective,weak,αδύναμος,
noun,weather,καιρός,masculine
noun,wednesday,τετάρτη,feminine
adverb,well,καλά,
noun,wheel,ρόδα,feminine
conjunction,when,όταν,
adverb,when,πότε ,
noun,"whisk, wire",σύρμα,feminine
noun,window,παράθυρο,neuter
noun,wine,κρασί,neuter
preposition,with,με,
noun,woman,γυναίκα,feminine
verb,work,δουλεύω,
verb,write,γράφω,
noun,yard,αυλή,feminine
adverb,yesterday,χθες,
noun,Africa,Αφρική,feminine
noun,America,Αμερική,feminine
noun,Asia,Ασία,feminine
noun,Athens,Αθήνα,feminine
noun,Australia,Αυστραλία,feminine
noun,Barcelona,Βαρκελώνη,feminine
noun,Belgium,Βέλγιο,neuter
noun,Berlin,Βερολίνο,neuter
noun,Brazil,Βραζιλία,feminine
noun,Britain,Βρετανία,feminine
noun,China,Κίνα,feminine
noun,Denmark,Δανία,feminine
noun,Egypt,Αίγυπτος,feminine
noun,England,Αγγλία,feminine
